Match_ID,Squad,MD,Touches_Att 3rd,Total_Touches_Att 3rd,Field_Tilt%,Cum_Touches_Att 3rd,Cum_Total_Touches_Att 3rd,Field_Tilt_Over_Matches%
1,Aston Villa,1,162,258,62.79,162.0,258.0,62.79
1,Young Boys,1,96,258,37.21,96.0,258.0,37.21
2,Juventus,1,89,309,28.8,89.0,309.0,28.8
2,PSV Eindhoven,1,220,309,71.2,220.0,309.0,71.2
3,Lille,1,119,233,51.07,119.0,233.0,51.07
3,Sporting CP,1,114,233,48.93,114.0,233.0,48.93
4,Real Madrid,1,164,340,48.24,164.0,340.0,48.24
4,Stuttgart,1,176,340,51.76,176.0,340.0,51.76
5,Liverpool,1,143,237,60.34,143.0,237.0,60.34
5,Milan,1,94,237,39.66,94.0,237.0,39.66
6,Bayern Munich,1,305,343,88.92,305.0,343.0,88.92
6,Dinamo Zagreb,1,38,343,11.08,38.0,343.0,11.08
7,Bologna,1,157,227,69.16,157.0,227.0,69.16
7,Shakhtar Donetsk,1,70,227,30.84,70.0,227.0,30.84
8,Red Bull Salzburg,1,196,292,67.12,196.0,292.0,67.12
8,Sparta Prague,1,96,292,32.88,96.0,292.0,32.88
9,Celtic,1,218,302,72.19,218.0,302.0,72.19
9,Slovan Bratislava,1,84,302,27.81,84.0,302.0,27.81
10,Internazionale,1,54,375,14.4,54.0,375.0,14.4
10,Manchester City,1,321,375,85.6,321.0,375.0,85.6
11,Girona,1,79,297,26.6,79.0,297.0,26.6
11,Paris Saint-Germain,1,218,297,73.4,218.0,297.0,73.4
12,Club Brugge,1,116,320,36.25,116.0,320.0,36.25
12,Dortmund,1,204,320,63.75,204.0,320.0,63.75
13,Bayer Leverkusen,1,73,269,27.14,73.0,269.0,27.14
13,Feyenoord,1,196,269,72.86,196.0,269.0,72.86
14,Benfica,1,104,276,37.68,104.0,276.0,37.68
14,Red Star Belgrade,1,172,276,62.32,172.0,276.0,62.32
15,Arsenal,1,106,266,39.85,106.0,266.0,39.85
15,Atalanta,1,160,266,60.15,160.0,266.0,60.15
16,Brest,1,163,233,69.96,163.0,233.0,69.96
16,Sturm Graz,1,70,233,30.04,70.0,233.0,30.04
17,Barcelona,1,58,244,23.77,58.0,244.0,23.77
17,Monaco,1,186,244,76.23,186.0,244.0,76.23
18,Atlético Madrid,1,208,265,78.49,208.0,265.0,78.49
18,RB Leipzig,1,57,265,21.51,57.0,265.0,21.51
19,Sparta Prague,2,64,362,17.68,160.0,654.0,24.46
19,Stuttgart,2,298,362,82.32,474.0,702.0,67.52
20,Brest,2,99,283,34.98,262.0,516.0,50.78
20,Red Bull Salzburg,2,184,283,65.02,380.0,575.0,66.09
21,Arsenal,2,138,356,38.76,244.0,622.0,39.23
21,Paris Saint-Germain,2,218,356,61.24,436.0,653.0,66.77
22,Internazionale,2,198,317,62.46,252.0,692.0,36.42
22,Red Star Belgrade,2,119,317,37.54,291.0,593.0,49.07
23,Bayer Leverkusen,2,194,363,53.44,267.0,632.0,42.25
23,Milan,2,169,363,46.56,263.0,600.0,43.83
24,Celtic,2,81,254,31.89,299.0,556.0,53.78
24,Dortmund,2,173,254,68.11,377.0,574.0,65.68
25,Barcelona,2,269,312,86.22,327.0,556.0,58.81
25,Young Boys,2,43,312,13.78,139.0,570.0,24.39
26,PSV Eindhoven,2,147,231,63.64,367.0,540.0,67.96
26,Sporting CP,2,84,231,36.36,198.0,464.0,42.67
27,Manchester City,2,479,506,94.66,800.0,881.0,90.81
27,Slovan Bratislava,2,27,506,5.34,111.0,808.0,13.74
28,Feyenoord,2,77,224,34.38,273.0,493.0,55.38
28,Girona,2,147,224,65.62,226.0,521.0,43.38
29,Atalanta,2,227,323,70.28,387.0,589.0,65.7
29,Shakhtar Donetsk,2,96,323,29.72,166.0,550.0,30.18
30,Aston Villa,2,50,314,15.92,212.0,572.0,37.06
30,Bayern Munich,2,264,314,84.08,569.0,657.0,86.61
31,Bologna,2,90,222,40.54,247.0,449.0,55.01
31,Liverpool,2,132,222,59.46,275.0,459.0,59.91
32,Atlético Madrid,2,151,286,52.8,359.0,551.0,65.15
32,Benfica,2,135,286,47.2,239.0,562.0,42.53
33,Juventus,2,159,321,49.53,248.0,630.0,39.37
33,RB Leipzig,2,162,321,50.47,219.0,586.0,37.37
34,Lille,2,123,269,45.72,242.0,502.0,48.21
34,Real Madrid,2,146,269,54.28,310.0,609.0,50.9
35,Club Brugge,2,165,277,59.57,281.0,597.0,47.07
35,Sturm Graz,2,112,277,40.43,182.0,510.0,35.69
36,Dinamo Zagreb,2,121,291,41.58,159.0,634.0,25.08
36,Monaco,2,170,291,58.42,356.0,535.0,66.54
37,Monaco,3,265,316,83.86,621.0,851.0,72.97
37,Red Star Belgrade,3,51,316,16.14,342.0,909.0,37.62
38,Club Brugge,3,57,259,22.01,338.0,856.0,39.49
38,Milan,3,202,259,77.99,465.0,859.0,54.13
39,Arsenal,3,178,308,57.79,422.0,930.0,45.38
39,Shakhtar Donetsk,3,130,308,42.21,296.0,858.0,34.5
40,Aston Villa,3,147,251,58.57,359.0,823.0,43.62
40,Bologna,3,104,251,41.43,351.0,700.0,50.14
41,Juventus,3,94,291,32.3,342.0,921.0,37.13
41,Stuttgart,3,197,291,67.7,671.0,993.0,67.57
42,Sporting CP,3,155,276,56.16,353.0,740.0,47.7
42,Sturm Graz,3,121,276,43.84,303.0,786.0,38.55
43,PSV Eindhoven,3,99,385,25.71,466.0,925.0,50.38
43,Paris Saint-Germain,3,286,385,74.29,722.0,1038.0,69.56
44,Dortmund,3,104,350,29.71,481.0,924.0,52.06
44,Real Madrid,3,246,350,70.29,556.0,959.0,57.98
45,Girona,3,210,278,75.54,436.0,799.0,54.57
45,Slovan Bratislava,3,68,278,24.46,179.0,1086.0,16.48
46,Bayer Leverkusen,3,142,256,55.47,409.0,888.0,46.06
46,Brest,3,114,256,44.53,376.0,772.0,48.7
47,Atalanta,3,390,451,86.47,777.0,1040.0,74.71
47,Celtic,3,61,451,13.53,360.0,1007.0,35.75
48,Benfica,3,146,244,59.84,385.0,806.0,47.77
48,Feyenoord,3,98,244,40.16,371.0,737.0,50.34
49,Manchester City,3,449,489,91.82,1249.0,1370.0,91.17
49,Sparta Prague,3,40,489,8.18,200.0,1143.0,17.5
50,Dinamo Zagreb,3,134,333,40.24,293.0,967.0,30.3
50,Red Bull Salzburg,3,199,333,59.76,579.0,908.0,63.77
51,Barcelona,3,63,228,27.63,390.0,784.0,49.74
51,Bayern Munich,3,165,228,72.37,734.0,885.0,82.94
52,Liverpool,3,159,276,57.61,434.0,735.0,59.05
52,RB Leipzig,3,117,276,42.39,336.0,862.0,38.98
53,Atlético Madrid,3,153,244,62.7,512.0,795.0,64.4
53,Lille,3,91,244,37.3,333.0,746.0,44.64
54,Internazionale,3,148,291,50.86,400.0,983.0,40.69
54,Young Boys,3,143,291,49.14,282.0,861.0,32.75
55,Dinamo Zagreb,4,130,316,41.14,423.0,1283.0,32.97
55,Slovan Bratislava,4,186,316,58.86,365.0,1402.0,26.03
56,Girona,4,52,243,21.4,488.0,1042.0,46.83
56,PSV Eindhoven,4,191,243,78.6,657.0,1168.0,56.25
57,Manchester City,4,281,323,87.0,1530.0,1693.0,90.37
57,Sporting CP,4,42,323,13.0,395.0,1063.0,37.16
58,Bayer Leverkusen,4,140,295,47.46,549.0,1183.0,46.41
58,Liverpool,4,155,295,52.54,589.0,1030.0,57.18
59,Celtic,4,163,284,57.39,523.0,1291.0,40.51
59,RB Leipzig,4,121,284,42.61,457.0,1146.0,39.88
60,Bologna,4,96,241,39.83,447.0,941.0,47.5
60,Monaco,4,145,241,60.17,766.0,1092.0,70.15
61,Milan,4,98,326,30.06,563.0,1185.0,47.51
61,Real Madrid,4,228,326,69.94,784.0,1285.0,61.01
62,Juventus,4,149,232,64.22,491.0,1153.0,42.58
62,Lille,4,83,232,35.78,416.0,978.0,42.54
63,Dortmund,4,235,294,79.93,716.0,1218.0,58.78
63,Sturm Graz,4,59,294,20.07,362.0,1080.0,33.52
64,Aston Villa,4,131,245,53.47,490.0,1068.0,45.88
64,Club Brugge,4,114,245,46.53,452.0,1101.0,41.05
65,Shakhtar Donetsk,4,154,270,57.04,450.0,1128.0,39.89
65,Young Boys,4,116,270,42.96,398.0,1131.0,35.19
66,Bayern Munich,4,377,435,86.67,1111.0,1320.0,84.17
66,Benfica,4,58,435,13.33,443.0,1241.0,35.7
67,Feyenoord,4,168,259,64.86,539.0,996.0,54.12
67,Red Bull Salzburg,4,91,259,35.14,670.0,1167.0,57.41
68,Arsenal,4,254,319,79.62,676.0,1249.0,54.12
68,Internazionale,4,65,319,20.38,465.0,1302.0,35.71
69,Atalanta,4,160,304,52.63,937.0,1344.0,69.72
69,Stuttgart,4,144,304,47.37,815.0,1297.0,62.84
70,Barcelona,4,256,309,82.85,646.0,1093.0,59.1
70,Red Star Belgrade,4,53,309,17.15,395.0,1218.0,32.43
71,Brest,4,137,234,58.55,513.0,1006.0,50.99
