MD,Match_ID,Player,Squad,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
1,1,Abdu Conté,Young Boys,22.0,pt POR,LB,26-177,28,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,5,8,62.5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
1,1,Alan Virginius,Young Boys,21.0,fr FRA,"RM,FW",21-258,28,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1,1,Cedric Itten,Young Boys,9.0,ch SUI,FW,27-265,8,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,2,0,3,4,75.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
1,1,Cheikh Niasse,Young Boys,20.0,sn SEN,DM,24-242,45,0,0,0,0,0,0,1,0,28,1,0,0,0.0,0.0,0.0,0,0,20,25,80.0,2,20,3,2,2,0,1,2,0,0,0,0,0,0,2,1,0,100.0
1,1,Darian Males,Young Boys,39.0,ch SUI,LM,23-137,8,0,0,0,0,0,0,0,0,6,2,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,
1,1,David von Ballmoos,Young Boys,26.0,ch SUI,GK,29-262,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,26,31,83.9,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
1,1,Ebrima Colley,Young Boys,11.0,gm GAM,"LW,LM",24-229,62,0,0,0,0,2,1,0,0,26,0,0,0,0.1,0.1,0.1,3,0,15,23,65.2,4,20,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
1,1,Filip Ugrinic,Young Boys,7.0,ch SUI,"CM,AM",25-256,90,0,0,0,0,4,2,0,0,53,1,2,1,0.1,0.1,0.2,4,0,36,44,81.8,3,21,2,3,2,0,2,2,0,4,0,0,0,0,6,0,0,
1,1,Jaouen Hadjam,Young Boys,3.0,dz ALG,LB,21-175,62,0,0,0,0,1,0,0,0,49,2,0,0,0.1,0.1,0.0,3,0,36,46,78.3,2,36,1,2,2,0,0,0,0,1,2,0,0,0,8,0,0,
1,1,Joel Monteiro,Young Boys,77.0,ch SUI,"RW,LM,RM",25-043,82,0,0,0,0,0,0,1,0,31,6,2,2,0.0,0.0,0.0,0,0,8,19,42.1,1,16,0,1,0,0,2,0,0,0,4,0,0,0,5,3,1,75.0
1,1,Meschak Elia,Young Boys,15.0,cd COD,"FW,RM",27-042,45,0,0,0,0,0,0,1,0,10,0,0,0,0.0,0.0,0.0,2,0,5,8,62.5,0,5,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0.0
1,1,Mohamed Aly Camara,Young Boys,13.0,gn GUI,CB,27-020,90,0,0,0,0,0,0,0,0,58,3,2,3,0.0,0.0,0.0,0,0,43,44,97.7,2,37,2,0,0,0,1,1,0,0,3,0,0,0,5,3,1,75.0
1,1,Sandro Lauper,Young Boys,30.0,ch SUI,"CM,DM",27-328,90,0,0,0,0,0,0,1,0,50,1,3,2,0.0,0.0,0.0,1,0,37,40,92.5,6,29,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,50.0
1,1,Silvère Ganvoula M'Boussy,Young Boys,35.0,cg CGO,FW,28-087,82,0,0,0,0,2,2,0,0,19,0,0,0,0.2,0.2,0.0,1,0,3,8,37.5,0,10,1,1,1,0,2,1,1,1,0,0,0,0,1,2,1,66.7
1,1,Tanguy Zoukrou,Young Boys,4.0,fr FRA,CB,21-133,90,0,0,0,0,0,0,0,0,67,0,2,1,0.0,0.0,0.0,1,0,55,61,90.2,0,51,1,0,0,0,0,2,0,0,0,0,0,0,2,2,1,66.7
1,1,Zachary Athekame,Young Boys,24.0,ch SUI,RB,19-279,90,0,0,0,0,1,0,0,0,37,1,3,0,0.0,0.0,0.0,4,0,20,27,74.1,3,19,2,0,0,0,3,1,0,1,1,0,0,0,1,1,0,100.0
1,1,Amadou Onana,Aston Villa,24.0,be BEL,DM,23-032,90,1,0,0,0,1,1,0,0,44,2,1,0,0.0,0.0,0.0,0,0,34,37,91.9,4,33,0,0,0,0,4,2,0,0,0,0,0,0,4,0,1,0.0
1,1,Diego Carlos,Aston Villa,3.0,br BRA,CB,31-186,45,0,0,0,0,0,0,0,0,16,0,1,0,0.0,0.0,0.0,0,0,12,14,85.7,1,10,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,50.0
1,1,Emi Buendía,Aston Villa,10.0,ar ARG,AM,27-267,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.1,1,0,3,3,100.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,Emiliano Martínez,Aston Villa,23.0,ar ARG,GK,32-015,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,2,0,32,45,71.1,0,29,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,
1,1,Ezri Konsa,Aston Villa,4.0,eng ENG,"RB,CB",26-330,90,0,0,0,0,1,0,0,0,53,0,2,0,0.1,0.1,0.0,0,0,41,44,93.2,1,34,1,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0.0
1,1,Ian Maatsen,Aston Villa,22.0,nl NED,"LB,DM",22-191,4,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1,1,Jacob Ramsey,Aston Villa,41.0,eng ENG,LW,23-112,90,1,0,0,0,3,3,0,0,52,0,0,1,0.7,0.7,0.3,6,1,41,43,95.3,9,35,3,1,1,0,0,3,0,0,0,0,0,0,4,0,1,0.0
1,1,Jhon Durán,Aston Villa,9.0,co COL,FW,20-279,31,0,0,0,0,3,0,1,0,12,0,1,0,0.1,0.1,0.0,1,0,3,6,50.0,0,5,1,0,0,0,2,1,0,0,0,0,0,0,0,1,1,50.0
1,1,John McGinn,Aston Villa,7.0,sct SCO,RW,29-335,90,0,1,0,0,2,0,0,0,38,1,1,0,0.2,0.2,0.0,3,1,24,30,80.0,2,28,0,2,1,0,0,1,0,3,1,0,0,0,4,0,0,
1,1,Lamare Bogarde,Aston Villa,26.0,nl NED,RB,20-256,45,0,0,0,0,0,0,0,0,18,3,0,0,0.0,0.0,0.0,1,0,9,11,81.8,0,7,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,
1,1,Lucas Digne,Aston Villa,12.0,fr FRA,LB,31-059,87,0,0,0,0,0,0,0,0,58,1,0,0,0.0,0.0,0.1,3,1,45,56,80.4,1,29,0,0,0,0,0,0,0,7,1,0,0,0,3,0,2,0.0
1,1,Morgan Rogers,Aston Villa,27.0,eng ENG,AM,22-053,87,0,0,0,0,3,1,0,0,47,0,1,0,0.2,0.2,0.6,8,0,22,33,66.7,6,32,5,5,4,0,0,1,0,0,0,0,0,0,1,2,5,28.6
1,1,Ollie Watkins,Aston Villa,11.0,eng ENG,FW,28-262,59,0,1,0,0,4,0,0,0,19,0,0,0,0.6,0.6,0.8,4,0,8,10,80.0,1,14,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,
1,1,Pau Torres,Aston Villa,14.0,es ESP,CB,27-245,90,0,0,0,0,0,0,0,0,50,0,0,1,0.0,0.0,0.0,1,0,38,43,88.4,3,27,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7
1,1,Ross Barkley,Aston Villa,6.0,eng ENG,DM,30-287,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,Youri Tielemans,Aston Villa,8.0,be BEL,DM,27-133,86,1,1,0,0,3,2,0,0,67,2,1,0,0.1,0.1,0.0,6,1,52,56,92.9,6,45,0,2,1,0,2,2,0,0,0,0,0,0,6,0,1,0.0
