MD,Match_ID,Player,Squad,#,Nation,Age_Years,Age_Days,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,xA,KP,1/3,PPA,CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,PrgR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
7,109,Ademola Lookman,Atalanta,11,NGA,27,93,FW,45,1,0,0,0,6,3,0,0,30,1,0,0,1.6,1.6,0.2,7,2,19,20,95.0,4,23,5,6,3,214,66,10,11,90.9,3,3,100.0,1,1,100.0,0.3,2,1,4,0,19,1,0,0,0,1,0,1,0,0,0,19,0,0,1,0,0,1,0,1,0.0,1,0,0,0,1,0,0,0,0,6,24,9,50.0,3,50.0,130,94,3,1,0,0,26,12,0,0,1,1,1,1,0,0,0,1,0,0,
7,109,Berat Djimsiti,Atalanta,19,ALB,31,337,CB,20,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,17,18,94.4,0,15,1,0,0,224,62,12,12,100.0,3,4,75.0,1,1,100.0,0.0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,7,12,2,0,,0,,66,35,0,0,1,0,14,1,0,0,0,0,0,0,0,0,0,2,1,1,50.0
7,109,Charles De Ketelaere,Atalanta,17,BEL,23,317,FW,90,1,1,0,0,4,1,0,0,59,1,0,0,0.5,0.5,1.0,5,1,34,44,77.3,3,45,4,10,5,431,143,25,28,89.3,6,8,75.0,1,1,100.0,0.6,1,3,0,0,38,5,3,0,0,2,1,1,0,0,0,34,1,2,1,0,0,1,0,0,,0,0,0,0,1,0,0,0,0,24,35,9,50.0,4,40.0,229,82,3,1,3,2,46,12,0,1,4,0,2,1,0,0,0,4,1,1,50.0
7,109,Davide Zappacosta,Atalanta,77,ITA,32,224,WB,90,0,1,0,0,3,0,0,0,87,0,0,1,0.1,0.1,0.9,5,1,69,79,87.3,14,63,5,2,0,966,418,43,46,93.5,21,24,87.5,3,3,100.0,1.2,3,5,3,1,67,12,0,0,0,4,12,0,0,0,0,69,0,4,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,15,30,45,4,0.0,2,100.0,323,211,11,1,1,1,60,12,0,0,0,1,4,0,0,0,0,9,0,0,
7,109,Isak Hien,Atalanta,4,SWE,26,8,CB,90,0,1,0,0,1,0,0,0,59,1,2,0,0.2,0.2,0.1,1,1,49,51,96.1,3,46,1,0,0,951,269,20,22,90.9,24,24,100.0,5,5,100.0,0.0,1,1,0,0,50,1,1,0,2,0,0,0,0,0,0,49,0,0,1,0,0,1,0,3,0.0,3,0,0,2,3,0,0,3,34,21,4,4,,0,,226,107,0,0,4,1,39,1,0,3,1,0,0,1,0,0,0,9,1,0,100.0
7,109,Juan Cuadrado,Atalanta,7,COL,36,240,WB,45,0,1,0,0,0,0,0,0,57,1,0,0,0.0,0.0,1.2,6,4,46,51,90.2,6,44,2,6,5,813,273,25,26,96.2,9,10,90.0,10,12,83.3,0.9,3,2,2,1,43,8,0,0,1,8,3,5,0,4,0,46,0,1,0,0,1,0,1,1,100.0,0,0,0,0,1,1,0,0,5,32,21,2,83.3,1,16.7,158,79,2,0,2,1,47,7,0,0,1,0,8,0,0,0,0,4,0,0,
7,109,Lazar Samardzic,Atalanta,24,SRB,22,332,AM,63,0,0,0,0,1,0,1,0,58,2,0,0,0.1,0.1,0.6,9,1,36,49,73.5,6,40,5,3,1,772,161,14,18,77.8,11,14,78.6,11,14,78.6,0.8,4,4,2,0,42,6,0,2,1,4,0,5,2,1,0,36,1,2,0,2,0,0,2,3,66.7,1,0,0,0,2,1,0,1,5,20,34,5,33.3,2,66.7,224,118,3,2,0,0,41,7,0,1,1,1,4,0,0,0,0,2,0,0,
7,109,Marco Brescianini,Atalanta,44,ITA,25,1,AM,27,1,0,0,0,3,2,0,0,22,1,0,0,0.9,0.9,0.0,1,0,12,16,75.0,1,16,0,1,0,170,19,7,8,87.5,3,6,50.0,1,1,100.0,0.0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,0,0,0,1,0.0,1,0,0,0,1,0,0,0,3,6,13,5,0.0,1,100.0,55,17,1,0,0,4,18,6,0,2,0,0,0,1,0,0,0,1,1,0,100.0
7,109,Marco Carnesecchi,Atalanta,29,ITA,24,204,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,34,35,97.1,0,30,0,0,0,888,477,6,6,100.0,16,16,100.0,12,13,92.3,0.0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,34,36,0,0,0,,0,,159,50,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,
7,109,Marco Palestra,Atalanta,27,ITA,19,324,WB,45,0,0,0,0,0,0,0,0,47,0,1,1,0.0,0.0,0.0,1,0,26,37,70.3,3,35,2,6,1,406,151,11,13,84.6,12,17,70.6,1,2,50.0,0.0,0,2,0,0,31,6,1,0,0,2,5,0,0,0,0,26,0,2,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,9,21,18,2,16.7,4,66.7,197,121,1,1,1,1,31,1,0,1,1,0,2,0,0,0,0,6,0,1,0.0
