MD,Match_ID,Player,Squad,#,Nation,Age_Years,Age_Days,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,xA,KP,1/3,PPA,CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,PrgR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
1,1,Abdu Conté,Young Boys,22,POR,26,177,LB,28,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,5,8,62.5,1,5,1,0,0,91,26,2,5,40.0,3,3,100.0,0,0,,0.0,0,1,0,0,7,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,1,2,5,2,0,,0,,29,18,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,
1,1,Alan Virginius,Young Boys,21,FRA,21,258,"RM,FW",28,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,1,0,0,0,0,0,0,,0,0,,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,2,1,,0,,17,7,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,
1,1,Cedric Itten,Young Boys,9,SUI,27,265,FW,8,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,2,0,3,4,75.0,1,2,0,0,0,33,5,1,1,100.0,1,1,100.0,0,0,,0.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,3,1,,0,,10,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,100.0
1,1,Cheikh Tidiane Niasse,Young Boys,20,SEN,24,242,DM,45,0,0,0,0,0,0,1,0,28,1,0,0,0.0,0.0,0.0,0,0,20,25,80.0,2,20,3,2,2,342,54,9,11,81.8,6,6,100.0,3,5,60.0,0.0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,1,1,100.0,0,0,0,0,1,0,0,1,5,19,5,0,100.0,0,0.0,145,103,1,0,1,2,22,2,0,1,2,0,0,0,0,0,0,2,1,0,100.0
1,1,Darian Males,Young Boys,39,SUI,23,137,LM,8,0,0,0,0,0,0,0,0,6,2,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,1,0,36,0,0,0,,0,0,,1,3,33.3,0.0,0,0,0,0,2,1,0,0,0,2,0,1,0,1,0,1,0,0,2,0,0,2,0,0,,0,0,0,0,2,0,0,0,0,1,5,0,0.0,1,100.0,2,0,0,0,1,0,2,1,0,0,0,0,2,2,0,0,0,0,0,0,
1,1,David von Ballmoos,Young Boys,26,SUI,29,262,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,26,31,83.9,0,20,0,0,0,767,422,2,2,100.0,15,16,93.8,9,13,69.2,0.0,0,1,0,0,21,10,3,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,25,32,0,0,0,,0,,106,75,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,
1,1,Ebrima Colley,Young Boys,11,GAM,24,229,"LW,LM",62,0,0,0,0,2,1,0,0,26,0,0,0,0.1,0.1,0.1,3,0,15,23,65.2,4,20,2,0,0,290,94,8,12,66.7,2,3,66.7,4,5,80.0,0.1,1,1,2,0,21,1,0,0,0,3,1,0,0,0,0,15,1,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,2,10,14,2,,0,,131,85,0,0,0,1,24,5,0,0,1,0,3,0,0,0,0,0,0,0,
1,1,Filip Ugrinic,Young Boys,7,SUI,25,256,"CM,AM",90,0,0,0,0,4,2,0,0,53,1,2,1,0.1,0.1,0.2,4,0,36,44,81.8,3,21,2,3,2,555,159,23,24,95.8,10,13,76.9,3,6,50.0,0.1,3,1,1,0,34,10,5,1,1,4,1,2,2,0,0,36,0,0,0,0,1,0,0,0,,0,0,1,2,3,0,0,1,4,26,23,1,66.7,1,33.3,133,72,1,0,0,2,29,1,0,2,2,0,4,0,0,0,0,6,0,0,
1,1,Jaouen Hadjam,Young Boys,3,ALG,21,175,LB,62,0,0,0,0,1,0,0,0,49,2,0,0,0.1,0.1,0.0,3,0,36,46,78.3,2,36,1,2,2,642,276,25,27,92.6,6,9,66.7,5,8,62.5,0.0,0,5,0,0,43,2,0,0,0,1,2,0,0,0,0,36,1,0,2,2,0,0,1,2,50.0,1,0,0,0,2,0,0,2,22,23,5,1,100.0,0,0.0,224,146,1,1,1,0,36,3,0,0,0,0,1,2,0,0,0,8,0,0,
1,1,Joel Monteiro,Young Boys,77,SUI,25,43,"RW,LM,RM",82,0,0,0,0,0,0,1,0,31,6,2,2,0.0,0.0,0.0,0,0,8,19,42.1,1,16,0,1,0,179,72,2,6,33.3,4,7,57.1,1,2,50.0,0.0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,8,0,1,4,5,0,1,0,2,0.0,2,0,2,2,8,0,0,0,16,11,4,1,0.0,1,100.0,79,35,1,0,2,1,15,2,0,2,0,0,0,4,0,0,0,5,3,1,75.0
1,1,Meschak Elia,Young Boys,15,COD,27,42,"FW,RM",45,0,0,0,0,0,0,1,0,10,0,0,0,0.0,0.0,0.0,2,0,5,8,62.5,0,5,0,0,0,72,0,3,3,100.0,2,2,100.0,0,3,0.0,0.0,1,1,0,0,7,1,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,4,5,0,,0,,25,9,0,0,1,1,6,4,0,1,0,3,2,0,0,0,0,0,0,1,0.0
1,1,Mohamed Aly Camara,Young Boys,13,GUI,27,20,CB,90,0,0,0,0,0,0,0,0,58,3,2,3,0.0,0.0,0.0,0,0,43,44,97.7,2,37,2,0,0,960,266,9,9,100.0,29,29,100.0,5,6,83.3,0.0,0,4,0,0,43,1,1,0,0,0,0,0,0,0,0,43,0,0,3,2,1,0,0,1,0.0,1,2,1,2,5,4,1,12,32,23,4,1,,0,,248,183,2,0,1,0,38,0,0,1,1,0,0,3,0,0,0,5,3,1,75.0
1,1,Sandro Lauper,Young Boys,30,SUI,27,328,"CM,DM",90,0,0,0,0,0,0,1,0,50,1,3,2,0.0,0.0,0.0,1,0,37,40,92.5,6,29,0,0,0,769,276,11,11,100.0,15,17,88.2,7,7,100.0,0.0,0,6,0,0,40,0,0,0,1,0,0,0,0,0,0,37,0,0,0,1,0,0,1,2,50.0,1,1,1,3,4,5,0,7,21,24,5,0,,0,,83,33,0,0,1,0,29,0,0,1,0,0,0,0,0,0,0,5,1,1,50.0
1,1,Silvère Ganvoula M'Boussy,Young Boys,35,CGO,28,87,FW,82,0,0,0,0,2,2,0,0,19,0,0,0,0.2,0.2,0.0,1,0,3,8,37.5,0,10,1,1,1,42,0,2,2,100.0,1,5,20.0,0,0,,0.0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,,0,0,0,0,0,2,0,3,3,6,10,4,100.0,0,0.0,38,22,0,1,3,0,12,2,0,2,1,1,1,0,0,0,0,1,2,1,66.7
